#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"13582580544";"12/07/2024 / 11:00:11";"WDOQ24";"C";"1";"5.465,00";"executada";"entrada";"1";"5.465,00";"-";"-";"-"
"13582580542";"12/07/2024 / 11:00:11";"WDOQ24";"V";"4";"5.469,50";"executada";"saída";"4";"5.469,50";"5,75";"0,11";"230,00"
"13582580276";"12/07/2024 / 11:00:05";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.470,00";"-";"-";"-"
"13582580151";"12/07/2024 / 11:00:03";"WDOQ24";"C";"1";"0,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582576509";"12/07/2024 / 10:52:09";"WDOQ24";"V";"2";"5.481,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582572952";"12/07/2024 / 10:45:18";"WDOQ24";"V";"1";"5.476,00";"executada";"entrada";"1";"5.476,00";"-";"-";"-"
"13582572949";"12/07/2024 / 10:45:18";"WDOQ24";"C";"2";"5.467,50";"executada";"saída";"2";"5.467,50";"6,00";"0,11";"120,00"
"13582572797";"12/07/2024 / 10:45:09";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.471,00";"-";"-";"-"
"13582568191";"12/07/2024 / 10:34:45";"WDOQ24";"C";"1";"5.456,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582568189";"12/07/2024 / 10:34:45";"WDOQ24";"V";"1";"5.467,50";"executada";"saída";"1";"5.467,50";"6,00";"0,11";"60,00"
"13582568178";"12/07/2024 / 10:34:44";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.461,50";"-";"-";"-"
"13582568098";"12/07/2024 / 10:34:40";"WDOQ24";"C";"8";"0,00";"executada";"saída";"8";"5.460,56";"-11,44";"-0,21";"-915,00"
"13582551329";"12/07/2024 / 10:03:54";"WDOQ24";"V";"4";"5.453,50";"executada";"entrada";"4";"5.453,50";"-";"-";"-"
"13582548597";"12/07/2024 / 09:59:23";"WDOQ24";"V";"2";"5.448,50";"executada";"entrada";"2";"5.448,50";"-";"-";"-"
"13582547920";"12/07/2024 / 09:57:49";"WDOQ24";"V";"1";"5.443,50";"executada";"entrada";"1";"5.443,50";"-";"-";"-"
"13582547917";"12/07/2024 / 09:57:49";"WDOQ24";"C";"8";"5.443,50";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13582547824";"12/07/2024 / 09:57:48";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.438,50";"-";"-";"-"
"13582538414";"12/07/2024 / 09:31:42";"WDOQ24";"V";"2";"5.448,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582537366";"12/07/2024 / 09:30:53";"WDOQ24";"V";"1";"5.443,00";"executada";"entrada";"1";"5.443,00";"-";"-";"-"
"13582537362";"12/07/2024 / 09:30:53";"WDOQ24";"C";"2";"5.434,50";"executada";"saída";"2";"5.434,50";"6,00";"0,11";"120,00"
"13582537288";"12/07/2024 / 09:30:51";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.438,00";"-";"-";"-"
"13582536207";"12/07/2024 / 09:30:15";"WDOQ24";"V";"1";"5.447,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582536190";"12/07/2024 / 09:30:15";"WDOQ24";"C";"1";"5.436,50";"executada";"saída";"1";"5.431,50";"11,00";"0,20";"110,00"
"13582535311";"12/07/2024 / 09:30:03";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.442,50";"-";"-";"-"
"13582522520";"12/07/2024 / 09:00:46";"WDOQ24";"C";"1";"5.432,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582522433";"12/07/2024 / 09:00:46";"WDOQ24";"V";"1";"5.443,00";"executada";"saída";"1";"5.443,00";"6,00";"0,11";"60,00"
